C=C(C=O)CC  Intramol
C=C(C=O)CCC  Intramol
C=C(C=O)COC  Intramol
C=C=CC(C)N  Intramol
C=CC(=C)C=O  Intramol
C=CC(C)=NCO  Hemiacetal
C=CC(C)C=NCN  Intramol
C=CC(C)N  Intramol
C=CC(N)CNCCC  Intramol
C=CC(N)CNCCN  Intramol
C=CC(N)NCC  Intramol
C=CC=CC(C)N  Intramol
C=CC=CCCN  Intramol
C=CC=CCN  Intramol
C=CC=NCCN  Intramol
C=CCCCN  Intramol
C=CCCN  Intramol
C=CCN  Intramol
C=CON=CC=O  Intramol
CC(C)=CCN  Intramol
CC(N)C=C=O  Intramol
CC=CC(C)=CCN  Intramol
CC=CC(N)NCC  Intramol
CC=CC(N)NCN  Intramol
CC=CCC(C)N  Intramol
CC=CCCN  Intramol
CC=NCO  Hemiacetal
CCC(N)=NCN  Intramol
CCCC(C)C=O  Intramol
CCCCCCCN  Intramol
CCCCOCO  Hemiacetal
CCCOCO  Hemiacetal
CCN=CC=O  Intramol
CCON=CC=O  Intramol
CNCCN  Intramol
COC=CC=O  Intramol
COCC=O  Intramol
N=CCCCCN  Intramol
NC#CCN  Intramol
C1CCOCOCOC1  Mixed7
C=C(C=O)CCC  Intramol
C=C=C=CCN  Intramol
C=C=C=NCN  Intramol
C=C=CCCN  Intramol
C=C=CNCN  Intramol
C=C=COCN  Intramol
C=CC(C)=CCN  Intramol
C=CC(N)=NCN  Intramol
C=CC=CCN  Intramol
C=CCN  Intramol
C=CCOCN  Intramol
CC(C)=CCN  Intramol
CC=CC(N)NCC  Intramol
CC=CCCN  Intramol
CC=CCN  Intramol
CCC#CCN  Intramol
CCC=CCN  Intramol
CCCC=O  Intramol
CNC=CCN  Intramol
COC=C=CCC=O  Intramol
COCF  FC1
CON=CC=O  Intramol
CON=CCC=O  Intramol
CONCC=O  Intramol
FC1=NCCCC1  FC2
NC1CC=CN1  Intramol
NC1CCC=CN1  Intramol
NCC#CO  Intramol
NCCC=CCO  Intramol
NCCCO  Intramol
O=CCNOO  Intramol
C#CCN  Intramol
C=C(C)C=O  Intramol
C=C(C)OCF  FC1
C=C(C=O)C=CC  Intramol
C=C(C=O)CCOC  Intramol
C=C(CN)CCC  Intramol
C=C(CN)CCCC  Intramol
C=CC(=C)CCN  Intramol
C=CC(C)C=O  Intramol
C=CC(C=C(C)C=O)CC  Intramol
C=CC=NCF  FC1
C=NC(C)=CC=O  Intramol
C=NC(F)CCO  FC1
CC#CC=O  Intramol
CC(=CCO)CN  Intramol
CC=CC(C)N  Intramol
CC=NCF  FC1
CCC=NCF  FC1
CCCC(=O)CC=O  Intramol
CCCC(C)C=O  Intramol
CCCC(N)CO  Intramol
CCCC=CCN  Intramol
CCOC(C)F  FC1
CNC(C)CC=O  Intramol
CNC(F)CCO  FC1
CNCC(N)CO  Intramol
COCC=CC=O  Intramol
COCCCC=O  Intramol
N#CCCN  Intramol
NC1C=CCN1  Intramol
C#CCN  Intramol
C1=CC2COCOC2O1  Mixed7
C1CC2COCOC2O1  Mixed7
C=C(C)CCN  Intramol
C=C(C)CN  Intramol
C=C=CC(O)CC=O  Intramol
C=CCC(N)CC  Intramol
C=CCCN  Intramol
C=CCN  Intramol
CC#CC(=O)CC=O  Intramol
CC=CC(=O)CC=O  Intramol
CC=CCC=NCO  Hemiacetal
CC=CCCN  Intramol
CCCC(C)C=O  Intramol
CCCCN  Intramol
CCNOCF  FC1
COCF  FC1
FC1=NC=CCC1  FC2
NC(CO)CCO  Intramol
NC1CCC=CN1  Intramol
C#CCN  Intramol
C=C(C)C(C)N(C)CCCN  Intramol
C=C(C=O)C1CC=CC1  Intramol
C=C(C=O)CCC  Intramol
C=C(CC)CN  Intramol
C=C=C=CC=CC=O  Intramol
C=C=CC=NCN  Intramol
C=CC(C)C=NCF  FC1
C=CC=CCN  Intramol
C=CCC#CCN  Intramol
C=CCC(C)C(=C)C=O  Intramol
C=CCC=CCN  Intramol
C=CCCN  Intramol
